Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
12367;20.02.2012 06:34;38,1412;27,475;23,46;Ml;4,4
12356;8.02.2012 19:57;39,2112;27,8725;6,99;Ml;4,2
12344;27.01.2012 19:06;37,5073;27,1838;7,06;Ml;4
12343;27.01.2012 17:43;37,4838;27,1508;13,51;Ml;4,2
12310;27.12.2011 07:51;37,9778;27,1563;21,3;Ml;4,4
12309;27.12.2011 05:59;37,9908;27,1748;26,44;Ml;4,1
12297;10.12.2011 05:15;38,84;30,21;5;Ml;4,1
12086;8.10.2011 22:10;39,0052;28,057;25,38;Ml;4
12054;25.08.2011 04:19;39,139;29,0957;22,54;Ml;4,3
12034;19.07.2011 21:16;39,1048;29,093;17,66;Ml;4,1
12033;17.07.2011 19:51;39,0638;29,1243;13,84;Ml;4
12032;13.07.2011 01:31;39,123;29,0328;14,7;Ml;4,3
12028;3.07.2011 14:16;39,1037;29,0147;10,78;Ml;4,1
12023;29.06.2011 11:40;39,1232;29,0032;9,28;Ml;4
12022;27.06.2011 23:41;39,07;29;8;Ml;4
12020;27.06.2011 21:13;39,12;29,02;9;Mw;5
12008;10.06.2011 22:47;39,0975;28,3405;34,38;Ml;4,7
12005;5.06.2011 21:29;39,143;29,095;6,98;Ml;4
12004;4.06.2011 13:51;39,1122;29,1018;15,63;Ml;4,1
12003;30.05.2011 22:03;39,1567;29,0112;15,29;Ml;4
12000;29.05.2011 01:31;39,1425;29,0853;5,04;Ml;4,5
11999;28.05.2011 18:06;39,1123;29,0278;16,62;Ml;4
11998;28.05.2011 07:35;39,11;29,13;8;Ml;4
11997;28.05.2011 05:47;39,1215;29,0408;23,02;Mw;5,1
11994;27.05.2011 07:43;39,1393;29,1235;19,42;Ml;4,4
11992;24.05.2011 02:55;39,1013;29,0217;16,8;Ml;4,2
11991;23.05.2011 10:06;39,0988;27,1522;26,37;Ml;4
11988;21.05.2011 21:43;39,1037;29,0513;7;Ml;4
11987;20.05.2011 11:30;39,1228;29,0027;7;Ml;4
11986;20.05.2011 05:00;39,1202;29,0872;7,09;Ml;4,2
11985;20.05.2011 04:00;39,1443;29,0023;6,97;Ml;4
11984;20.05.2011 00:58;39,1147;29,0837;17,38;Ml;4,3
11983;20.05.2011 00:13;39,1413;29,1065;16,92;Ml;4,1
11982;19.05.2011 22:19;39,115;28,9885;6,95;Ml;4
11981;19.05.2011 21:33;39,131;29,1235;20,83;Ml;4,3
11980;19.05.2011 21:21;39,1128;29,0317;6,99;Ml;4,3
11979;19.05.2011 21:12;39,113;29,0377;7,74;Ml;4,8
11978;19.05.2011 21:08;39,11;29,0338;7,06;Ml;4,2
11977;19.05.2011 20:43;39,12;29,09;2;Ml;4
11976;19.05.2011 20:41;39,1;29,13;5;Ml;4
11974;19.05.2011 20:25;39,1442;29,1078;7;Ml;4,6
11973;19.05.2011 20:15;39,1328;29,082;24,46;Mw;5,9
11968;7.05.2011 18:00;37,02;28,17;5;Ml;4
11966;1.05.2011 15:04;39,0602;28,0227;24,88;Ml;4,1
11959;22.04.2011 05:43;38,9837;29,8262;21,32;Ml;4
11946;29.03.2011 00:53;39,1602;29,0673;6,97;Ml;4,3
11911;6.02.2011 02:09;37,8;27,21;8;Ml;4,2
11910;5.02.2011 07:17;37,9045;29,0512;10,09;Ml;4
11909;5.02.2011 02:37;37,83;27,34;5;Ml;4,1
11884;8.12.2010 21:50;37,88;27,34;7;Ml;4
11871;14.11.2010 05:21;37,8558;27,3385;18,66;Ml;4,1
11869;11.11.2010 20:08;37,8579;27,3856;15;Mw;5
11850;11.10.2010 18:03;37,8858;27,2912;6,99;Ml;4,1
11846;5.10.2010 23:43;38,0022;27,952;17,11;Ml;4,1
11819;7.09.2010 14:17;37,0191;27,6161;6,3;mb;4,2
11807;12.08.2010 02:23;39,6865;27,5781;13,8;mb;4,3
11798;4.08.2010 20:38;37,4865;27,0433;12,66;Ml;4,2
11715;2.03.2010 00:59;39,14;29,1;7;Ml;4,3
11714;2.03.2010 00:43;39,1339;29,0705;2,8;mb;4,2
11694;31.01.2010 04:18;36,9247;29,3357;6,92;Ml;4
11690;25.01.2010 01:10;38,8471;26,9071;13,4;mb;4
11663;4.12.2009 17:19;37,4107;29,5697;19,5;mb;4,7
11662;4.12.2009 06:02;37,9332;28,8681;10;Mw;4,9
